signal,signal_name,snr_db,snr_quality,peak_detection_error,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,bbi_cv,resp_rate_mean,bbi_regularity,n_impossible_breaths,impossible_breath_pct,breathing_band_ratio,breathing_band_quality,imu_name,ribs_acc_x_skewness,ribs_acc_x_kurtosis,ribs_acc_x_flatline_pct,ribs_acc_x_peak_to_peak,ribs_acc_x_rms,ribs_acc_x_spike_pct,ribs_acc_x_spike_quality,ribs_acc_y_skewness,ribs_acc_y_kurtosis,ribs_acc_y_flatline_pct,ribs_acc_y_peak_to_peak,ribs_acc_y_rms,ribs_acc_y_spike_pct,ribs_acc_y_spike_quality,ribs_acc_z_skewness,ribs_acc_z_kurtosis,ribs_acc_z_flatline_pct,ribs_acc_z_peak_to_peak,ribs_acc_z_rms,ribs_acc_z_spike_pct,ribs_acc_z_spike_quality,ribs_gyr_x_skewness,ribs_gyr_x_kurtosis,ribs_gyr_x_flatline_pct,ribs_gyr_x_peak_to_peak,ribs_gyr_x_rms,ribs_gyr_x_spike_pct,ribs_gyr_x_spike_quality,ribs_gyr_y_skewness,ribs_gyr_y_kurtosis,ribs_gyr_y_flatline_pct,ribs_gyr_y_peak_to_peak,ribs_gyr_y_rms,ribs_gyr_y_spike_pct,ribs_gyr_y_spike_quality,ribs_gyr_z_skewness,ribs_gyr_z_kurtosis,ribs_gyr_z_flatline_pct,ribs_gyr_z_peak_to_peak,ribs_gyr_z_rms,ribs_gyr_z_spike_pct,ribs_gyr_z_spike_quality,ribs_acc_mag_mean,ribs_acc_mag_std,ribs_gravity_deviation,ribs_acc_calibration,chest_acc_x_skewness,chest_acc_x_kurtosis,chest_acc_x_flatline_pct,chest_acc_x_peak_to_peak,chest_acc_x_rms,chest_acc_x_spike_pct,chest_acc_x_spike_quality,chest_acc_y_skewness,chest_acc_y_kurtosis,chest_acc_y_flatline_pct,chest_acc_y_peak_to_peak,chest_acc_y_rms,chest_acc_y_spike_pct,chest_acc_y_spike_quality,chest_acc_z_skewness,chest_acc_z_kurtosis,chest_acc_z_flatline_pct,chest_acc_z_peak_to_peak,chest_acc_z_rms,chest_acc_z_spike_pct,chest_acc_z_spike_quality,chest_gyr_x_skewness,chest_gyr_x_kurtosis,chest_gyr_x_flatline_pct,chest_gyr_x_peak_to_peak,chest_gyr_x_rms,chest_gyr_x_spike_pct,chest_gyr_x_spike_quality,chest_gyr_y_skewness,chest_gyr_y_kurtosis,chest_gyr_y_flatline_pct,chest_gyr_y_peak_to_peak,chest_gyr_y_rms,chest_gyr_y_spike_pct,chest_gyr_y_spike_quality,chest_gyr_z_skewness,chest_gyr_z_kurtosis,chest_gyr_z_flatline_pct,chest_gyr_z_peak_to_peak,chest_gyr_z_rms,chest_gyr_z_spike_pct,chest_gyr_z_spike_quality,chest_acc_mag_mean,chest_acc_mag_std,chest_gravity_deviation,chest_acc_calibration,mean_temperature,std_temperature,min_temperature,max_temperature,physiological_range,range,stability,n_sudden_jumps,jump_pct
lead1,lead1,13.709020056189583,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",1.8053888079102738,moderate,2.3586131089212774,good,0.0,0.0,good,0.6835885942408272,0.14315083772381812,good,0.0837354402788229,poor,0.002922513526477001,good,66.28153778952718,5.86850956712488,57.091806959705636,77.35762524416948,4.0,10.0,0.0,14.0,73.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead2,lead2,13.516412717464032,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.3344797493299,poor,5.763142745814916,moderate,0.0,0.0,good,0.971405391092826,0.15552446341863,good,0.3143985767354147,poor,0.002068084362555361,good,52.53710997308538,4.558005863185416,40.78750641253214,62.959859264835586,0.0,14.0,0.0,14.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,c1,19.694379107977547,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",-4.363357073242641,poor,20.524006396471837,poor,0.0,0.0,good,1.013596810336591,0.1339414851845797,good,0.5098890379488679,moderate,0.00045105705804363174,good,46.04854334192897,3.900437163573616,36.69561540572553,50.0,0.0,13.0,1.0,14.0,62.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,c2,16.585726993446436,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",-2.1002235737405517,poor,9.682635882882444,poor,0.0,0.0,good,1.342910138858634,0.17978937902746883,good,0.33598963790697656,poor,0.0012582196163438194,good,52.34069154429626,7.334369319142664,38.882759553478465,61.34056039257346,0.0,13.0,1.0,14.0,60.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,c3,13.641116281970602,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",1.629839407514029,moderate,2.116191579430806,good,0.0,0.0,good,1.2260310863656554,0.2278547782956729,good,0.09152991427559337,poor,0.0027927957980013107,good,67.84523522231193,6.247876822087103,59.89018762242626,80.32554141793113,6.0,8.0,0.0,14.0,73.0,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,c4,15.369599043333249,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.1948644532993455,poor,4.48253326042748,moderate,0.0,0.0,good,1.1902170078603707,0.20686590472349647,good,0.29130850943154746,poor,0.0019303108640214217,good,60.79772141101443,5.410066893885947,51.9220022408294,71.59644921933479,1.0,13.0,0.0,14.0,64.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,c5,15.827875081441693,good,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (2,) + inhomogeneous part.",2.5643726826892213,poor,7.004670778499486,poor,0.0,0.0,good,1.1152626026854906,0.17853451484755098,good,0.33706445495429904,poor,0.0017265377224050813,good,53.48334791641613,6.288829849580891,43.846557751489186,65.41443434974478,0.0,14.0,0.0,14.0,60.0,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impedance_pneumography,impedance_pneumography,12.185699502545688,good,,0.5051467019926245,good,-0.9696436120905076,good,0.0,0.0,good,0.009456259483404911,0.002417779682509958,,,,,,,,,,,,,,79.0,good,15.0,29.0,0.5172413793103449,poor,0.27600819035688023,25.46226129130039,moderate,0.0,0.0,0.7402281310210803,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,ribs,0.19630188941345744,-0.7275631632433135,0.0,0.6558370696457771,0.11741667423073252,0.46296296296296297,good,-1.1894788517310986,2.341444793392088,0.0,1.2492790287658528,0.18093572895623491,3.153935185185185,moderate,-0.13947406228863485,-1.1695249726017212,0.0,1.1926028139505647,0.2711793423258001,0.1099537037037037,good,-0.05036920405776073,0.012755315054202576,0.0,0.0028309093589966292,0.00046719411378864814,1.5046296296296295,moderate,0.37341777611290133,-1.0609593975915688,0.0,0.012943325454855374,0.0030767207876555716,0.7060185185185185,good,-0.21973530056443122,-0.06194291962549903,0.0,0.005253451686670607,0.001001667433556218,1.087962962962963,moderate,0.31104581289181393,0.15268644794825192,9.498954187108186,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imu_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,moderate,,,,,,,,,,,,chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39779400951719307,0.22212838158016623,0.0,0.8343030065961321,0.13020397896559116,1.5914351851851851,moderate,0.0005603144528740835,-0.463303791605703,0.0,1.468308833691647,0.2523327443074921,0.35300925925925924,good,-0.08134375396147146,-0.3914424463020518,0.0,0.4889382009461988,0.09342420977152058,0.6192129629629629,good,0.3292673762195573,-0.8790237685983944,0.0,0.011366676809208226,0.002579468137349745,0.30671296296296297,good,0.2109113994967792,-0.49440718912889503,0.0,0.007040208445313488,0.0013092547296604995,1.0590277777777777,moderate,0.3135244345452079,0.2086315531668621,0.0,0.002929277221550792,0.000403374415591365,1.3368055555555556,moderate,0.263732848650048,0.1407052149089943,9.546267151349953,poor,,,,,,,,,
